Abbildung,映射/图示,Der Begriff Abbildung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Abbildung 是线性代数中的重要专业表达，意思是映射/图示。）
Abbildungen,映射相关,Der Begriff Abbildungen ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Abbildungen 是线性代数中的重要专业表达，意思是映射相关。）
Abgeschlossenheit,封闭性,Der Begriff Abgeschlossenheit ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Abgeschlossenheit 是线性代数中的重要专业表达，意思是封闭性。）
allgemeine Lösung,通解,Der Begriff allgemeine Lösung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 allgemeine Lösung 是线性代数中的重要专业表达，意思是通解。）
Ausgangsmatrix,矩阵相关,Der Begriff Ausgangsmatrix ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Ausgangsmatrix 是线性代数中的重要专业表达，意思是矩阵相关。）
B-Koordinaten,坐标相关,Der Begriff B-Koordinaten ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 B-Koordinaten 是线性代数中的重要专业表达，意思是坐标相关。）
Basis,基,Der Begriff Basis ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basis 是线性代数中的重要专业表达，意思是基。）
Basis-Funktionen,基相关,Der Begriff Basis-Funktionen ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basis-Funktionen 是线性代数中的重要专业表达，意思是基相关。）
Basisdarstellung,基相关,Der Begriff Basisdarstellung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basisdarstellung 是线性代数中的重要专业表达，意思是基相关。）
Basismatrizen,基相关,Der Begriff Basismatrizen ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basismatrizen 是线性代数中的重要专业表达，意思是基相关。）
Basissysteme,基相关,Der Begriff Basissysteme ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basissysteme 是线性代数中的重要专业表达，意思是基相关。）
Basisvektoren,向量相关,Der Begriff Basisvektoren ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basisvektoren 是线性代数中的重要专业表达，意思是向量相关。）
Basiswechsel,换基,Der Begriff Basiswechsel ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basiswechsel 是线性代数中的重要专业表达，意思是换基。）
Batch-Skalarprodukt,内积/标量相关,Der Begriff Batch-Skalarprodukt ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Batch-Skalarprodukt 是线性代数中的重要专业表达，意思是内积/标量相关。）
Bernoulli-Ungleichung,方程相关,Der Begriff Bernoulli-Ungleichung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Bernoulli-Ungleichung 是线性代数中的重要专业表达，意思是方程相关。）
bijektiv,双射的,Der Begriff bijektiv ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 bijektiv 是线性代数中的重要专业表达，意思是双射的。）
Bild,像/值域,Der Begriff Bild ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Bild 是线性代数中的重要专业表达，意思是像/值域。）
Cauchy-Schwarz-Ungleichung,方程相关,Der Begriff Cauchy-Schwarz-Ungleichung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Cauchy-Schwarz-Ungleichung 是线性代数中的重要专业表达，意思是方程相关。）
charakteristische Gleichung,特征方程,Der Begriff charakteristische Gleichung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 charakteristische Gleichung 是线性代数中的重要专业表达，意思是特征方程。）
charakteristisches Polynom,特征多项式,Der Begriff charakteristisches Polynom ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 charakteristisches Polynom 是线性代数中的重要专业表达，意思是特征多项式。）
Definitheit,正定/负定相关,Der Begriff Definitheit ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Definitheit 是线性代数中的重要专业表达，意思是正定/负定相关。）
Definitionsbereich,定义域,Der Begriff Definitionsbereich ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Definitionsbereich 是线性代数中的重要专业表达，意思是定义域。）
Definitionsbereichs,定义域（属格形式）,Der Begriff Definitionsbereichs ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Definitionsbereichs 是线性代数中的重要专业表达，意思是定义域（属格形式）。）
