Abbildung,图示/图,Die Abbildung zeigt die empirische Verteilung der Daten.（该图展示了数据的经验分布。）
abhängig,依赖的,Der Begriff abhängig ist in der Statistik ein wichtiger Fachausdruck.（术语 abhängig 是统计学中的重要专业表达，意思是依赖的。）
Abhängigkeit,依赖性,Die Abhängigkeit zwischen zwei Zufallsvariablen kann nicht allein aus den Randverteilungen erkannt werden.（两个随机变量之间的依赖性不能仅由边际分布看出。）
absolut stetig,绝对连续,Der Begriff absolut stetig ist in der Statistik ein wichtiger Fachausdruck.（术语 absolut stetig 是统计学中的重要专业表达，意思是绝对连续。）
absolute Häufigkeit,绝对频数,"Die absolute Häufigkeit gibt an, wie oft eine Ausprägung beobachtet wurde.（绝对频数表示某个取值被观测到多少次。）"
Abweichung,偏差/离差,Der Begriff Abweichung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（偏差/离差在解释统计结果时很重要。）
abzählbar,可数的,Der Begriff abzählbar ist in der Statistik ein wichtiger Fachausdruck.（术语 abzählbar 是统计学中的重要专业表达，意思是可数的。）
Achse,坐标轴,Der Begriff Achse ist in der Statistik ein wichtiger Fachausdruck.（术语 Achse 是统计学中的重要专业表达，意思是坐标轴。）
Additivität,可加性,Der Begriff Additivität ist in der Statistik ein wichtiger Fachausdruck.（术语 Additivität 是统计学中的重要专业表达，意思是可加性。）
ästhetische Zuordnung,审美映射,Der Begriff ästhetische Zuordnung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（审美映射在解释统计结果时很重要。）
Anzahl,数量,Der Begriff Anzahl ist in der Statistik ein wichtiger Fachausdruck.（术语 Anzahl 是统计学中的重要专业表达，意思是数量。）
ApoE,ApoE 基因,Der Begriff ApoE ist in der Statistik ein wichtiger Fachausdruck.（术语 ApoE 是统计学中的重要专业表达，意思是ApoE 基因。）
Archimedische Copula,阿基米德 Copula,Der Begriff Archimedische Copula ist in der Statistik ein wichtiger Fachausdruck.（术语 Archimedische Copula 是统计学中的重要专业表达，意思是阿基米德 Copula。）
arithmetisches Mittel,算术平均数,Das arithmetische Mittel reagiert empfindlich auf Ausreißer.（算术平均数对离群值很敏感。）
assoziative Struktur,关联结构,Der Begriff assoziative Struktur ist in der Statistik ein wichtiger Fachausdruck.（术语 assoziative Struktur 是统计学中的重要专业表达，意思是关联结构。）
AUC,曲线下面积,Der Begriff AUC ist in der Statistik ein wichtiger Fachausdruck.（术语 AUC 是统计学中的重要专业表达，意思是曲线下面积。）
Ausprägung,取值/表现,Der Begriff Ausprägung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（取值/表现在解释统计结果时很重要。）
Ausreißer,离群值,Der Begriff Ausreißer ist in der Statistik ein wichtiger Fachausdruck.（术语 Ausreißer 是统计学中的重要专业表达，意思是离群值。）
Auswahlverfahren,抽样/选择方法,Der Begriff Auswahlverfahren ist in der Statistik ein wichtiger Fachausdruck.（术语 Auswahlverfahren 是统计学中的重要专业表达，意思是抽样/选择方法。）
Auto,汽车,Der Begriff Auto ist in der Statistik ein wichtiger Fachausdruck.（术语 Auto 是统计学中的重要专业表达，意思是汽车。）
Axiom,公理,Der Begriff Axiom ist in der Statistik ein wichtiger Fachausdruck.（术语 Axiom 是统计学中的重要专业表达，意思是公理。）
Balkendiagramm,条形图,Der Begriff Balkendiagramm ist in der Statistik ein wichtiger Fachausdruck.（术语 Balkendiagramm 是统计学中的重要专业表达，意思是条形图。）
