Abbildung,映射/图示,Eine lineare Abbildung ordnet jedem Eingabevektor genau einen Ausgabevektor zu.（线性映射把每个输入向量对应到唯一的输出向量。）
Abbildungen,映射（复数形式）,Lineare Abbildungen erhalten Addition und Skalarmultiplikation.（线性映射保持加法和数乘。）
Abgeschlossenheit,封闭性,"Abgeschlossenheit bedeutet, dass Summe und Skalarmultiplikation innerhalb der Menge bleiben.（封闭性表示加法和数乘后的结果仍留在集合内部。）"
Additivität,可加性,Additivität einer linearen Abbildung bedeutet $T(u+v)=T(u)+T(v)$.（线性映射的可加性表示 $T(u+v)=T(u)+T(v)$。）
allgemeine Lösung,通解,Die allgemeine Lösung eines linearen Gleichungssystems besteht aus einer speziellen Lösung plus allen Lösungen des homogenen Systems.（线性方程组的通解由一个特解加上齐次解集组成。）
Assoziativität,结合律,Assoziativität bedeutet zum Beispiel $(AB)C=A(BC)$ bei der Matrixmultiplikation.（结合律表示例如矩阵乘法中有 $(AB)C=A(BC)$。）
Ausgangsmatrix,初始矩阵,Bei Zeilenumformungen vergleicht man die Ausgangsmatrix mit der reduzierten Matrix.（做行变换时，要比较初始矩阵和化简后的矩阵。）
B-Koordinaten,B基坐标,"Die B-Koordinaten eines Vektors geben an, mit welchen Koeffizienten die Basisvektoren aus B kombiniert werden.（向量的B基坐标表示用B中基向量线性组合时的系数。）"
Basis,基,Eine Basis ist ein linear unabhängiges Erzeugendensystem eines Vektorraums.（基是向量空间中线性无关且能张成全空间的一组向量。）
Basis-Funktionen,基函数,In einem Funktionenraum können Basis-Funktionen andere Funktionen durch Linearkombinationen annähern.（在函数空间中，基函数可以通过线性组合近似其他函数。）
Basisdarstellung,基表示,Die Basisdarstellung schreibt einen Vektor als Linearkombination der Basisvektoren.（基表示就是把向量写成基向量的线性组合。）
Basismatrizen,基矩阵,Basismatrizen können einen Matrixraum genauso aufspannen wie Basisvektoren einen Vektorraum.（基矩阵能张成矩阵空间，就像基向量张成向量空间一样。）
Basissysteme,基系统,Basissysteme erlauben eine eindeutige Koordinatendarstellung.（基系统使坐标表示唯一。）
Basisvektoren,基向量,"Die Basisvektoren von $\mathbb R^2$ können zum Beispiel $e_1=(1,0)^T$ und $e_2=(0,1)^T$ sein.（$\mathbb R^2$ 的基向量可以是 $e_1=(1,0)^T$ 和 $e_2=(0,1)^T$。）"
Basiswechsel,换基,Beim Basiswechsel werden Koordinaten desselben Vektors von einer Basis in eine andere umgerechnet.（换基是把同一个向量在一组基下的坐标换算到另一组基下。）
Batch-Skalarprodukt,批量内积,"Ein Batch-Skalarprodukt berechnet mehrere Skalarprodukte gleichzeitig, etwa in einer Datenmatrix.（批量内积可以一次计算多个内积，例如在数据矩阵中。）"
Bernoulli-Ungleichung,伯努利不等式,Die Bernoulli-Ungleichung liefert eine Abschätzung für Potenzen und wird oft in Beweisen benutzt.（伯努利不等式给出幂的估计，常用于证明。）
bijektiv,双射的,Eine bijektive lineare Abbildung ist sowohl injektiv als auch surjektiv und besitzt eine Umkehrabbildung.（双射线性映射既单射又满射，因此有逆映射。）
Bild,像/值域,"Das Bild einer Matrix ist die Menge aller Vektoren, die als $Ax$ entstehen können.（矩阵的像是所有可以写成 $Ax$ 的向量集合。）"
Cauchy-Schwarz-Ungleichung,柯西-施瓦茨不等式,"Die Cauchy-Schwarz-Ungleichung besagt $|\langle u,v\rangle|\le \|u\|\|v\|$.（柯西-施瓦茨不等式说明 $|\langle u,v\rangle|\le \|u\|\|v\|$。）"
charakteristische Gleichung,特征方程,Die charakteristische Gleichung $\det(A-\lambda I)=0$ bestimmt die Eigenwerte von $A$.（特征方程 $\det(A-\lambda I)=0$ 用来求矩阵 $A$ 的特征值。）
charakteristisches Polynom,特征多项式,Die Nullstellen des charakteristischen Polynoms sind die Eigenwerte der Matrix.（特征多项式的零点就是矩阵的特征值。）
Definitheit,定性/正定性,Die Definitheit einer quadratischen Form wird über die Vorzeichen ihrer Eigenwerte entschieden.（二次型的定性由其特征值符号决定。）
Definitionsbereich,定义域,"Der Definitionsbereich einer linearen Abbildung ist der Vektorraum, aus dem die Eingaben stammen.（线性映射的定义域是输入向量所在的向量空间。）"
Determinante,行列式,"Die Determinante misst, wie eine Matrix Volumen skaliert und ob sie invertierbar ist.（行列式衡量矩阵如何缩放体积，并判断矩阵是否可逆。）"
Determinanten,行列式（复数形式）,Determinanten von Dreiecksmatrizen erhält man durch Multiplikation der Diagonaleinträge.（三角矩阵的行列式等于对角线元素的乘积。）
Diagonale,对角线,"Die Diagonale einer Matrix besteht aus den Einträgen $a_{11},a_{22},\ldots$.（矩阵的对角线由 $a_{11},a_{22},\ldots$ 这些元素组成。）"
Diagonaleinträge,对角线元素,Bei einer Dreiecksmatrix ist die Determinante das Produkt der Diagonaleinträge.（三角矩阵的行列式是所有对角线元素的乘积。）
Diagonalen,对角线（复数形式）,In einer Diagonalmatrix dürfen außerhalb der Diagonalen nur Nullen stehen.（对角矩阵在对角线以外的位置必须为零。）
diagonalisierbar,可对角化的,"Eine Matrix ist diagonalisierbar, wenn sie eine Basis aus Eigenvektoren besitzt.（如果矩阵有一组特征向量基，它就是可对角化的。）"
Diagonalisierung,对角化,Die Diagonalisierung schreibt eine Matrix in der Form $A=PDP^{-1}$.（对角化把矩阵写成 $A=PDP^{-1}$ 的形式。）
Diagonalmatrix,对角矩阵,In einer Diagonalmatrix stehen die wichtigen Skalierungsfaktoren auf der Diagonale.（对角矩阵的重要缩放因子位于对角线上。）
Dimension,维数,Die Dimension eines Vektorraums ist die Anzahl der Vektoren in einer Basis.（向量空间的维数是一组基中向量的个数。）
Distributivität,分配律,Distributivität bedeutet zum Beispiel $A(B+C)=AB+AC$.（分配律表示例如 $A(B+C)=AB+AC$。）
Drehmatrix,旋转矩阵,"Eine Drehmatrix rotiert Vektoren um den Ursprung, ohne ihre Länge zu verändern.（旋转矩阵绕原点旋转向量，并保持长度不变。）"
Dreiecksmatrix,三角矩阵,Bei einer Dreiecksmatrix stehen alle Einträge unter oder über der Diagonale auf Null.（三角矩阵在主对角线的一侧全为零。）
Eigenraum,特征空间,Der Eigenraum zu $\lambda$ besteht aus allen Vektoren mit $Ax=\lambda x$.（属于 $\lambda$ 的特征空间由所有满足 $Ax=\lambda x$ 的向量组成。）
Eigenräume,特征空间（复数形式）,Eigenräume zu verschiedenen Eigenwerten schneiden sich nur im Nullvektor.（不同特征值对应的特征空间只在零向量处相交。）
Eigenvektor,特征向量,"Ein Eigenvektor ändert unter $A$ nur seine Länge oder Richtungsvorzeichen, nicht seine Richtungslinie.（特征向量在矩阵作用下只改变长度或方向符号，不改变所在直线。）"
Eigenvektorbasis,特征向量基,In einer Rechenaufgabe sollte man Eigenvektorbasis immer mit der passenden Definition verwenden.（做计算题时，应结合相应定义使用 Eigenvektorbasis。）
Eigenvektoren,特征向量（复数形式）,Eigenvektoren bilden bei der Diagonalisierung die Spalten der Matrix $P$.（对角化时，特征向量构成矩阵 $P$ 的列。）
Eigenwert,特征值,"Der Eigenwert $\lambda$ gibt an, mit welchem Faktor ein Eigenvektor skaliert wird.（特征值 $\lambda$ 表示特征向量被缩放的倍数。）"
Eigenwerte,特征值（复数形式）,Bei einer Dreiecksmatrix sind die Eigenwerte die Diagonaleinträge.（三角矩阵的特征值就是对角线元素。）
Einheitsmatrix,单位矩阵,Die Einheitsmatrix $I$ erfüllt $AI=IA=A$.（单位矩阵 $I$ 满足 $AI=IA=A$。）
Einheitsvektor,单位向量,Ein Einheitsvektor hat Norm $1$ und beschreibt nur eine Richtung.（单位向量范数为 $1$，只表示方向。）
Einheitsvektoren,单位向量（复数形式）,Die Standard-Einheitsvektoren bilden die Standardbasis von $\mathbb R^n$.（标准单位向量构成 $\mathbb R^n$ 的标准基。）
elementare Zeilenoperation,初等行变换,"Elementare Zeilenoperationen verändern ein Gleichungssystem, ohne seine Lösungsmenge zu verlieren.（初等行变换改变方程组的写法，但不丢失解集。）"
erweiterte Matrix,增广矩阵,Eine erweiterte Matrix hängt die rechte Seite eines Gleichungssystems an die Koeffizientenmatrix an.（增广矩阵把方程组右端项接在系数矩阵后面。）
Erzeugendensystem,生成系,Ein Erzeugendensystem spannt den ganzen Vektorraum auf.（生成系能够张成整个向量空间。）
freie Variable,自由变量,"Eine freie Variable entsteht, wenn eine Spalte keinen Pivot besitzt.（某列没有主元时，对应变量就是自由变量。）"
