Abbildung,映射/图示,Der Begriff Abbildung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Abbildung 是线性代数中的重要专业表达，意思是映射/图示。）
Abbildungen,映射（复数形式）,Der Begriff Abbildungen ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Abbildungen 是线性代数中的重要专业表达，意思是映射（复数形式）。）
Abgeschlossenheit,封闭性,Der Begriff Abgeschlossenheit ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Abgeschlossenheit 是线性代数中的重要专业表达，意思是封闭性。）
Additivität,可加性,Der Begriff Additivität ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Additivität 是线性代数中的重要专业表达，意思是可加性。）
allgemeine Lösung,通解,Der Begriff allgemeine Lösung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 allgemeine Lösung 是线性代数中的重要专业表达，意思是通解。）
Assoziativität,结合律,Der Begriff Assoziativität ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Assoziativität 是线性代数中的重要专业表达，意思是结合律。）
Ausgangsmatrix,初始矩阵,Der Begriff Ausgangsmatrix ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Ausgangsmatrix 是线性代数中的重要专业表达，意思是初始矩阵。）
B-Koordinaten,B基坐标,Der Begriff B-Koordinaten ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 B-Koordinaten 是线性代数中的重要专业表达，意思是B基坐标。）
Basis,基,Der Begriff Basis ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basis 是线性代数中的重要专业表达，意思是基。）
Basis-Funktionen,基函数,Der Begriff Basis-Funktionen ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basis-Funktionen 是线性代数中的重要专业表达，意思是基函数。）
Basisdarstellung,基表示,Der Begriff Basisdarstellung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basisdarstellung 是线性代数中的重要专业表达，意思是基表示。）
Basismatrizen,基矩阵,Der Begriff Basismatrizen ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basismatrizen 是线性代数中的重要专业表达，意思是基矩阵。）
Basissysteme,基系统,Der Begriff Basissysteme ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basissysteme 是线性代数中的重要专业表达，意思是基系统。）
Basisvektoren,基向量,Der Begriff Basisvektoren ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basisvektoren 是线性代数中的重要专业表达，意思是基向量。）
Basiswechsel,换基,Der Begriff Basiswechsel ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Basiswechsel 是线性代数中的重要专业表达，意思是换基。）
Batch-Skalarprodukt,批量内积,Der Begriff Batch-Skalarprodukt ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Batch-Skalarprodukt 是线性代数中的重要专业表达，意思是批量内积。）
Bernoulli-Ungleichung,伯努利不等式,Der Begriff Bernoulli-Ungleichung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Bernoulli-Ungleichung 是线性代数中的重要专业表达，意思是伯努利不等式。）
bijektiv,双射的,Der Begriff bijektiv ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 bijektiv 是线性代数中的重要专业表达，意思是双射的。）
Bild,像/值域,Der Begriff Bild ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Bild 是线性代数中的重要专业表达，意思是像/值域。）
Cauchy-Schwarz-Ungleichung,柯西-施瓦茨不等式,Der Begriff Cauchy-Schwarz-Ungleichung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Cauchy-Schwarz-Ungleichung 是线性代数中的重要专业表达，意思是柯西-施瓦茨不等式。）
charakteristische Gleichung,特征方程,Der Begriff charakteristische Gleichung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 charakteristische Gleichung 是线性代数中的重要专业表达，意思是特征方程。）
charakteristisches Polynom,特征多项式,Der Begriff charakteristisches Polynom ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 charakteristisches Polynom 是线性代数中的重要专业表达，意思是特征多项式。）
Definitheit,定性/正定性,Der Begriff Definitheit ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Definitheit 是线性代数中的重要专业表达，意思是定性/正定性。）
Definitionsbereich,定义域,Der Begriff Definitionsbereich ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Definitionsbereich 是线性代数中的重要专业表达，意思是定义域。）
Determinante,行列式,Der Begriff Determinante ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Determinante 是线性代数中的重要专业表达，意思是行列式。）
Determinanten,行列式（复数形式）,Der Begriff Determinanten ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Determinanten 是线性代数中的重要专业表达，意思是行列式（复数形式）。）
Diagonale,对角线,Der Begriff Diagonale ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Diagonale 是线性代数中的重要专业表达，意思是对角线。）
Diagonaleinträge,对角线元素,Der Begriff Diagonaleinträge ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Diagonaleinträge 是线性代数中的重要专业表达，意思是对角线元素。）
Diagonalen,对角线（复数形式）,Der Begriff Diagonalen ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Diagonalen 是线性代数中的重要专业表达，意思是对角线（复数形式）。）
diagonalisierbar,可对角化的,Der Begriff diagonalisierbar ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 diagonalisierbar 是线性代数中的重要专业表达，意思是可对角化的。）
Diagonalisierung,对角化,Der Begriff Diagonalisierung ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Diagonalisierung 是线性代数中的重要专业表达，意思是对角化。）
Diagonalmatrix,对角矩阵,Der Begriff Diagonalmatrix ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Diagonalmatrix 是线性代数中的重要专业表达，意思是对角矩阵。）
Dimension,维数,Der Begriff Dimension ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Dimension 是线性代数中的重要专业表达，意思是维数。）
Distributivität,分配律,Der Begriff Distributivität ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Distributivität 是线性代数中的重要专业表达，意思是分配律。）
Drehmatrix,旋转矩阵,Der Begriff Drehmatrix ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Drehmatrix 是线性代数中的重要专业表达，意思是旋转矩阵。）
Dreiecksmatrix,三角矩阵,Der Begriff Dreiecksmatrix ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Dreiecksmatrix 是线性代数中的重要专业表达，意思是三角矩阵。）
Eigenraum,特征空间,Der Begriff Eigenraum ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Eigenraum 是线性代数中的重要专业表达，意思是特征空间。）
Eigenräume,特征空间（复数形式）,Der Begriff Eigenräume ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Eigenräume 是线性代数中的重要专业表达，意思是特征空间（复数形式）。）
Eigenvektor,特征向量,Der Begriff Eigenvektor ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Eigenvektor 是线性代数中的重要专业表达，意思是特征向量。）
Eigenvektorbasis,特征向量基,Der Begriff Eigenvektorbasis ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Eigenvektorbasis 是线性代数中的重要专业表达，意思是特征向量基。）
Eigenvektoren,特征向量（复数形式）,Der Begriff Eigenvektoren ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Eigenvektoren 是线性代数中的重要专业表达，意思是特征向量（复数形式）。）
Eigenwert,特征值,Der Begriff Eigenwert ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Eigenwert 是线性代数中的重要专业表达，意思是特征值。）
Eigenwerte,特征值（复数形式）,Der Begriff Eigenwerte ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Eigenwerte 是线性代数中的重要专业表达，意思是特征值（复数形式）。）
Einheitsmatrix,单位矩阵,Der Begriff Einheitsmatrix ist in der linearen Algebra ein wichtiger Fachausdruck.（术语 Einheitsmatrix 是线性代数中的重要专业表达，意思是单位矩阵。）
